employee,reader,start,end,delta,success
1,16,2022-06-19T19:12:04Z,2022-06-19T19:12:04Z,283.2491ms,True
1,6,2022-06-19T19:12:04Z,2022-06-19T19:12:04Z,270.2265ms,True
1,4,2022-06-19T19:12:04Z,2022-06-19T19:12:04Z,272.6017ms,True
1,2,2022-06-19T19:12:04Z,2022-06-19T19:12:05Z,268.4466ms,True
1,14,2022-06-19T19:12:05Z,2022-06-19T19:12:05Z,254.8409ms,True
1,1,2022-06-19T19:12:05Z,2022-06-19T19:12:05Z,277.3517ms,True
1,3,2022-06-19T19:12:05Z,2022-06-19T19:12:06Z,269.1435ms,True
1,5,2022-06-19T19:12:06Z,2022-06-19T19:12:06Z,275.2833ms,True
1,15,2022-06-19T19:12:06Z,2022-06-19T19:12:06Z,272.9081ms,True
1,13,2022-06-19T19:12:06Z,2022-06-19T19:12:06Z,277.0206ms,True
1,14,2022-06-19T19:12:06Z,2022-06-19T19:12:07Z,274.5887ms,True
1,8,2022-06-19T19:12:07Z,2022-06-19T19:12:07Z,257.4927ms,True
1,16,2022-06-19T19:12:07Z,2022-06-19T19:12:07Z,383.7948ms,True
1,6,2022-06-19T19:12:07Z,2022-06-19T19:12:08Z,302.8837ms,True
1,4,2022-06-19T19:12:08Z,2022-06-19T19:12:08Z,305.2011ms,True
1,2,2022-06-19T19:12:08Z,2022-06-19T19:12:08Z,297.8114ms,True
1,14,2022-06-19T19:12:08Z,2022-06-19T19:12:08Z,282.4462ms,True
1,1,2022-06-19T19:12:08Z,2022-06-19T19:12:09Z,276.177ms,True
1,3,2022-06-19T19:12:09Z,2022-06-19T19:12:09Z,267.774ms,True
1,5,2022-06-19T19:12:09Z,2022-06-19T19:12:09Z,269.9071ms,True
1,15,2022-06-19T19:12:09Z,2022-06-19T19:12:10Z,270.1738ms,True
1,13,2022-06-19T19:12:10Z,2022-06-19T19:12:10Z,269.2956ms,True
1,14,2022-06-19T19:12:10Z,2022-06-19T19:12:10Z,264.6618ms,True
1,8,2022-06-19T19:12:10Z,2022-06-19T19:12:10Z,253.7089ms,True
1,16,2022-06-19T19:12:10Z,2022-06-19T19:12:11Z,276.3254ms,True
1,6,2022-06-19T19:12:11Z,2022-06-19T19:12:11Z,266.3737ms,True
1,4,2022-06-19T19:12:11Z,2022-06-19T19:12:11Z,269.4637ms,True
1,2,2022-06-19T19:12:11Z,2022-06-19T19:12:11Z,270.2518ms,True
1,14,2022-06-19T19:12:11Z,2022-06-19T19:12:12Z,257.6233ms,True
1,1,2022-06-19T19:12:12Z,2022-06-19T19:12:12Z,269.6183ms,True
1,3,2022-06-19T19:12:12Z,2022-06-19T19:12:12Z,276.5456ms,True
1,5,2022-06-19T19:12:12Z,2022-06-19T19:12:12Z,267.8237ms,True
1,15,2022-06-19T19:12:12Z,2022-06-19T19:12:13Z,272.1257ms,True
1,13,2022-06-19T19:12:13Z,2022-06-19T19:12:13Z,274.6947ms,True
1,14,2022-06-19T19:12:13Z,2022-06-19T19:12:14Z,1.1396446s,True
1,8,2022-06-19T19:12:14Z,2022-06-19T19:12:14Z,302.4413ms,True
1,16,2022-06-19T19:12:14Z,2022-06-19T19:12:15Z,271.9827ms,True
1,6,2022-06-19T19:12:15Z,2022-06-19T19:12:15Z,269.0271ms,True
1,4,2022-06-19T19:12:15Z,2022-06-19T19:12:15Z,270.8599ms,True
1,2,2022-06-19T19:12:15Z,2022-06-19T19:12:16Z,276.382ms,True
1,14,2022-06-19T19:12:16Z,2022-06-19T19:12:16Z,252.4785ms,True
